,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1000,eil101-27.5,CP-RANK-ADD,101,3256.763,0.74,1.7163472214770845,2265.389,0.0,1800.01,0,0,3005435,6853756,0.9168982848759998
1001,random-10-0.00-0,CP-RANK-ADD,10,0,0,0,0,-inf,0.02,0,0,1,0,-1
1002,gr202-67.3,CP-RANK-ADD,202,3133.57,9.77,3.0179931237294593,1485.257,0.0,1800.04,0,0,451550,1227760,1.0380516295823805
1003,d657-322.7,CP-RANK-ADD,657,833161.2,105.59,8.650751699175732,604469.0,0.0,1800.57,0,0,15736,49722,6.547836467371757
1004,burma14-3.1,CP-RANK-ADD,14,52.66006,0.02,0.0,52.66006,52.65479,0.04,0,0,291,576,0.0
1005,vm1084-848.9,CP-RANK-ADD,1084,6884769.0,203.25,18.154374117908937,6884769.0,0.0,1800.39,0,0,7398,39620,18.154374117908937
1006,lin318-99.3,CP-RANK-ADD,318,559806.1,97.5,4.901261265461726,247970.8,0.0,1800.06,0,0,129068,403763,2.118726351196864
1007,random-10-3.80-0,CP-RANK-ADD,10,571.4808,0.02,0.14747738249105535,498.0323,497.9825,0.05,0,0,1206,2431,1.6669679635013415e-06
1008,random-10-2.50-0,CP-RANK-ADD,10,0,0,0,0,19.10355,0.02,0,0,21,10,-1
1009,berlin52-13.2,CP-RANK-ADD,52,31639.78,0.17,1.072760663201453,22809.71,2092.852,1800.0,0,0,8818927,19210401,0.49999988076303453
1010,rat783-481.4,CP-RANK-ADD,783,127772.6,122.23,8.15392218219247,107583.5,0.0,1800.71,0,0,10948,39816,6.805746893186625
1011,ulysses22-5.5,CP-RANK-ADD,22,168.2404,0.03,0.17377378117654774,143.3329,143.3185,0.85,0,0,15277,30826,1.3698537538214273e-05
1012,random-10-1.30-0,CP-RANK-ADD,10,0,0,0,0,49.72895,0.01,0,0,17,2,-1
1013,fl417-160.6,CP-RANK-ADD,417,468428.9,91.3,19.203364949268934,247580.1,0.0,1800.21,0,0,29139,83285,11.150831535139405
1014,eil101-27.5,CP-RANK-DEL,101,2974.935,0.75,1.4812847669065665,2283.786,0.0,1800.0,0,0,2838025,6482235,0.9760855811573629
1015,random-10-0.00-0,CP-RANK-DEL,10,0,0,0,0,-inf,0,0,0,1,0,-1
1016,gr202-67.3,CP-RANK-DEL,202,3073.397,4.92,2.9408368131207374,1571.675,0.0,1800.02,0,0,466166,1226240,1.0744035342711327
1017,d657-322.7,CP-RANK-DEL,657,577297.0,93.13,5.687001271397484,561839.6,0.0,1800.45,0,0,17628,58303,5.654623781819796
1018,burma14-3.1,CP-RANK-DEL,14,52.66006,0.02,0.0,52.66006,52.65479,0.03,0,0,442,880,0.0
1019,vm1084-848.9,CP-RANK-DEL,1084,6875620.0,210.51,18.128920341783004,6875620.0,0.0,1801.74,0,0,5796,32809,18.128920341783004
1020,lin318-99.3,CP-RANK-DEL,318,588651.5,20.0,5.205338412364466,248784.8,0.0,1800.06,0,0,84806,266319,1.9684584513021106
1021,random-10-3.80-0,CP-RANK-DEL,10,554.2197,0.0,0.1128187870545745,498.0323,497.9825,0.02,0,0,951,1932,4.689588740864133e-07
1022,random-10-2.50-0,CP-RANK-DEL,10,0,0,0,0,19.10355,0.02,0,0,21,10,-1
1023,berlin52-13.2,CP-RANK-DEL,52,32380.85,0.16,1.1213090647604622,21520.42,3108.173,1800.0,0,0,9155552,20040961,0.4730054908569835
1024,rat783-481.4,CP-RANK-DEL,783,119379.0,118.86,7.552585422758517,89248.52,0.0,1800.48,0,0,7228,32594,6.19136832931955
1025,ulysses22-5.5,CP-RANK-DEL,22,176.8368,0.03,0.23374884621744216,143.3329,143.3185,0.91,0,0,16325,33113,1.5859334768531474e-05
1026,random-10-1.30-0,CP-RANK-DEL,10,0,0,0,0,49.72895,0.01,0,0,17,2,-1
1027,fl417-160.6,CP-RANK-DEL,417,505602.5,42.57,20.806664419643504,212553.0,0.0,1800.08,0,0,22931,68868,9.842821038359194
1028,eil101-27.5,CP-DEL,101,35350.0,155.67,28.484145539363762,30810.0,417.0,1800.02,0,0,23539,58622,25.85788488882859
1029,random-10-0.00-0,CP-DEL,10,0,0,0,0,0,0,0,0,0,0,-1
1030,gr202-67.3,CP-DEL,202,0,0,0,0,1.0,1800.07,0,0,1384,45675,-1
1031,d657-322.7,CP-DEL,657,0,0,0,0,179.0,1800.25,0,0,18,513288,-1
1032,burma14-3.1,CP-DEL,14,521.0,0.04,8.893646152321132,521.0,521.0,1.52,0,0,5603,9613,8.893646152321132
1033,vm1084-848.9,CP-DEL,1084,0,0,0,0,272.0,1802.56,0,0,1,3,-1
1034,lin318-99.3,CP-DEL,318,0,0,0,0,310.0,1800.16,0,0,534,105614,-1
1035,random-10-3.80-0,CP-DEL,10,4976.0,0.05,8.991319840098724,4976.0,4976.0,6.98,0,0,166866,117071,8.991319840098724
1036,random-10-2.50-0,CP-DEL,10,0,0,0,0,1252.0,0.16,0,0,2440,4866,-1
1037,berlin52-13.2,CP-DEL,52,210364.0,2.21,12.781202781868599,166473.0,22938.0,1800.01,0,0,1556404,3148050,10.195994715024929
1038,rat783-481.4,CP-DEL,783,0,0,0,0,10.0,1800.71,0,0,6,609893,-1
1039,ulysses22-5.5,CP-DEL,22,1421.0,1.34,8.913983460880232,1421.0,1421.0,31.0,0,0,140585,130018,8.913983460880232
1040,random-10-1.30-0,CP-DEL,10,0,0,0,0,0.0,0.01,0,0,1,0,-1
