,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
112,random-150-32.80-0,DIDP-DEL,0,0,0,0,0,651.3665260291773,1801.569498098,0,0,32778032,139134124,-1,,
111,random-150-19.68-0,DIDP-DEL,0,0,0,0,0,607.5213592259785,1802.36364621,0,0,33877113,137660743,-1,,
110,random-100-24.00-0,DIDP-DEL,0,0,0,0,0,561.5121659287882,1805.014380054,0,0,48276267,181501816,-1,,
109,random-150-6.00-0,DIDP-DEL,0,0,0,0,0,611.2854062295563,1801.296526677,0,0,34696182,145067400,-1,,
108,random-100-19.68-0,DIDP-DEL,0,0,0,0,0,562.1682748529305,1804.69316633,0,0,46624277,176698154,-1,,
107,random-100-15.00-0,DIDP-DEL,0,0,0,0,0,563.1265989957359,1809.932447596,0,0,46188400,173316581,-1,,
106,random-100-6.00-0,DIDP-DEL,0,0,0,0,0,568.2436742104318,1815.46973642,0,0,46235760,178747772,-1,,
90,random-70-16.00-0,DIDP-DEL,0,0,0,0,0,464.964153661137,1805.321116061,0,0,60976011,212622147,-1,,
105,random-100-10.68-0,DIDP-DEL,0,0,0,0,0,564.4249490163794,1809.408338508,0,0,44413112,170896184,-1,,
103,random-90-16.64-0,DIDP-DEL,0,0,0,0,0,513.2653964268412,1810.319073162,0,0,45875719,178917856,-1,,
102,random-90-13.00-0,DIDP-DEL,0,0,0,0,0,514.5178873567332,1809.349243465,0,0,46097887,179575463,-1,,
101,random-90-9.64-0,DIDP-DEL,0,0,0,0,0,516.4352094556403,1808.948602606,0,0,47782140,185952272,-1,,
100,random-10-2.50-0,DIDP-DEL,0,0,0,0,0,0,0.014345991,0,0,8629,10380,-1,,
99,random-10-1.30-0,DIDP-DEL,0,0,0,0,0,0,0.00080573,0,0,425,473,-1,,
98,random-10-0.00-0,DIDP-DEL,0,0,0,0,0,0,8.7741e-05,0,0,1,1,-1,,
97,random-80-16.00-0,DIDP-DEL,0,0,0,0,0,450.63564116486043,1809.374700523,0,0,49461317,192273447,-1,,
96,random-90-6.00-0,DIDP-DEL,0,0,0,0,0,520.5577214241807,1805.259697182,0,0,56751152,202042262,-1,,
95,random-80-13.12-0,DIDP-DEL,0,0,0,0,0,451.64175735912215,1808.526022964,0,0,52115460,197561602,-1,,
94,random-70-13.12-0,DIDP-DEL,0,0,0,0,0,466.0906423514649,1820.465595034,0,0,60242510,212486323,-1,,
93,random-80-7.12-0,DIDP-DEL,0,0,0,0,0,458.0583383847346,1813.957957052,0,0,59739610,209606061,-1,,
92,random-80-10.00-0,DIDP-DEL,0,0,0,0,0,452.6909232931778,1807.955767787,0,0,57486551,203941877,-1,,
104,random-90-20.00-0,DIDP-DEL,0,0,0,0,0,512.8739985460597,1809.970746278,0,0,46008758,178288692,-1,,
60,random-20-0.00-0,DIDP-DEL,0,0,0,0,0,0,7.9349e-05,0,0,1,1,-1,,
59,random-100-24.00-0,DIDP-ADD,0,1964.593261947919,0.002212459,0.31289572798662124,1496.3817918432123,726.1365105605447,1806.195923627,0,0,58220168,200146360,0.005357762976791695,1496.3817918432123,0.0
58,random-200-47.12-0,DIDP-ADD,0,2779.2773471055243,0.009491639,0.24117376078901198,2239.233083157303,838.0330052302288,1801.542440927,0,0,31535989,131488532,0.0005362929995564908,2239.233083157303,0.0
26,random-90-13.00-0,DIDP-ADD,0,2475.488066346164,0.005531147,0.3207008040196631,1874.3746189991023,1164.18684756289,1801.155138568,0,0,77300006,215551696,0.00015833197680070851,1874.3746189991023,0.0
25,random-80-16.00-0,DIDP-ADD,0,1910.4056808391024,0.002755342,0.37358551740261586,1390.8167031722842,705.442834861356,1803.677410314,0,0,72261778,217076642,0.0006155878228053132,1390.8167031722842,0.0
24,random-30-10.00-0,DIDP-ADD,0,848.6032255444634,0.000359726,0.29192813000980433,656.8501806195856,656.8501806195856,1578.284720184,0,0,151581315,195085644,1.9024454020023555e-05,656.8501806195856,0.0
23,random-100-6.00-0,DIDP-ADD,0,0,0,0,0,0,0.006389482,0,0,406,452,-1,,
22,random-40-7.00-0,DIDP-ADD,0,1443.1802232242821,0.001674772,0.15463166558441385,1249.9052868897547,1249.9052868897547,1215.657049662,0,0,127709261,163600225,9.254902855415207e-07,1249.9052868897547,0.0
21,random-30-7.60-0,DIDP-ADD,0,1109.9624854155345,0.000386658,0.4166605127016294,783.5063344137338,783.5063344137338,339.065596663,0,0,39990973,52598873,7.273124132993539e-07,783.5063344137338,0.0
20,random-20-10.00-0,DIDP-ADD,0,526.9243005192199,0.00030017,0.1829843264739569,445.41951125404023,445.41951125404023,43.381653945,0,0,5684257,7412848,9.482265667186927e-06,445.41951125404023,0.0
19,random-20-7.60-0,DIDP-ADD,0,566.4208567938501,0.000288417,0.0476107329560311,550.5499273460155,550.5499273460155,8.735463355,0,0,1478446,1905151,0.018257023310607468,540.6787454301723,0.018257018607212898
18,random-90-6.00-0,DIDP-ADD,0,0,0,0,0,0,0.003964786,0,0,281,322,-1,,
17,random-30-5.00-0,DIDP-ADD,0,1586.6529818829658,0.000487586,0.25534635876310385,1263.916504642033,1263.916504642033,0.792160227,0,0,205877,259043,2.0240169421246232e-07,1263.916504642033,0.0
16,random-80-7.12-0,DIDP-ADD,0,0,0,0,0,0,0.007103484,0,0,494,573,-1,,
15,random-80-4.00-0,DIDP-ADD,0,0,0,0,0,0,0.001784962,0,0,145,165,-1,,
27,random-80-13.12-0,DIDP-ADD,0,2162.2286755465657,0.004883986,0.400793090609614,1543.5746292877423,893.0422555278642,1809.496204982,0,0,79579042,220663013,0.004715682676124064,1543.5746292877423,0.0
14,random-20-5.00-0,DIDP-ADD,0,781.2599910150383,0.000447851,0.20367230304963213,656.618855524248,656.618855524248,0.403332717,0,0,119553,148136,0.011640224259333318,649.063693694399,0.011640093111426168
12,random-70-4.00-0,DIDP-ADD,0,0,0,0,0,0,0.000811475,0,0,69,83,-1,,
11,random-60-6.60-0,DIDP-ADD,0,0,0,0,0,0,0.003870947,0,0,391,448,-1,,
10,random-60-4.00-0,DIDP-ADD,0,0,0,0,0,0,0.0008519,0,0,86,104,-1,,
9,random-50-2.00-0,DIDP-ADD,0,0,0,0,0,0,0.00014798,0,0,8,8,-1,,
8,random-50-4.60-0,DIDP-ADD,0,0,0,0,0,0,0.000697574,0,0,77,89,-1,,
7,random-40-2.00-0,DIDP-ADD,0,0,0,0,0,0,6.0752e-05,0,0,1,1,-1,,
6,random-40-4.60-0,DIDP-ADD,0,0,0,0,0,0,0.000541614,0,0,67,83,-1,,
5,random-20-0.00-0,DIDP-ADD,0,0,0,0,0,0,6.5879e-05,0,0,1,1,-1,,
4,random-30-2.60-0,DIDP-ADD,0,0,0,0,0,0,0.000195374,0,0,17,18,-1,,
3,random-30-0.00-0,DIDP-ADD,0,0,0,0,0,0,5.627e-05,0,0,1,1,-1,,
2,random-10-3.80-0,DIDP-ADD,0,562.3843390419478,0.000177565,0.1292123996405429,498.0323801093303,498.0323801093303,0.00335613,0,0,1331,1511,1.9575368449955697e-08,498.03238010933023,1.1413599021077606e-16
1,random-20-2.60-0,DIDP-ADD,0,0,0,0,0,0,0.000420346,0,0,72,79,-1,,
13,random-70-7.12-0,DIDP-ADD,0,0,0,0,0,0,0.011501101,0,0,988,1060,-1,,
28,random-60-11.60-0,DIDP-ADD,0,1538.7058991878193,0.001456099,0.2617502760305122,1219.501139344795,796.5109386529887,1810.543093358,0,0,88473174,242024097,0.00014949408478552432,1219.501139344795,0.0
29,random-70-13.12-0,DIDP-ADD,0,1977.469424324607,0.001017059,0.4179225846942259,1394.6243932288073,801.5012221475823,1810.239999221,0,0,80565370,221876435,0.008203081096032601,1394.6243932288073,0.0
30,random-70-10.00-0,DIDP-ADD,0,2425.214763349821,0.001670967,0.39478456511966786,1738.7737317997535,1184.584237256921,1810.681165715,0,0,89270981,235434729,0.000251537107346494,1738.7737317997535,0.0
57,random-200-60.00-0,DIDP-ADD,0,2527.39918621385,0.011387023,0.261211176677305,2003.9460741795451,808.5606212329423,1801.189612687,0,0,27372672,120804278,0.0025802684685653286,2003.9460741795451,0.0
56,random-200-32.00-0,DIDP-ADD,0,3229.9808388032125,0.008812777,0.27861209518231345,2526.1616490047822,870.5323241401991,1801.183776395,0,0,34691378,129370272,0.0009856992882595144,2526.1616490047822,0.0
55,random-150-19.68-0,DIDP-ADD,0,3184.45268721136,0.008701728,0.29109719382964216,2466.470148359367,945.5686178611902,1802.332147123,0,0,49749802,157022985,0.003277274671205041,2466.470148359367,0.0
54,random-150-32.80-0,DIDP-ADD,0,2399.803044382404,0.004881653,0.2953037897873211,1852.695146345888,774.6990322792532,1802.16791594,0,0,42145580,160111884,0.002095561043861111,1852.695146345888,0.0
53,random-200-20.96-0,DIDP-ADD,0,4226.4141313196415,0.014456353,0.3113211114190835,3223.0199716268635,1073.2572831110153,1801.338938902,0,0,39414369,129408181,0.002079986313042114,3223.0199716268635,0.0
52,random-150-60.00-0,DIDP-ADD,0,1678.3517163542006,0.005953897,0.16643482394174777,1438.8731216738931,691.5303371378159,1801.763360556,0,0,33803138,150928052,0.001256365941221558,1438.8731216738931,0.0
51,random-150-46.40-0,DIDP-ADD,0,2133.654993770561,0.005377288,0.3531670796895492,1576.786064186601,721.1522566148825,1801.461123645,0,0,38673654,161224494,0.00024271514624627275,1576.786064186601,0.0
50,random-100-19.68-0,DIDP-ADD,0,2409.096795174206,0.002112339,0.4633353816467383,1646.3053004726585,789.1467542934356,1805.780223623,0,0,61423718,202369328,0.004131945433788335,1646.3053004726585,0.0
49,random-100-15.00-0,DIDP-ADD,0,2428.268382041731,0.006992789,0.2447537769797989,1950.802180278212,930.650474966239,1805.334082529,0,0,68344909,201247496,8.245205444701234e-05,1950.802180278212,0.0
48,random-100-10.68-0,DIDP-ADD,0,3103.8822108158884,0.003179909,0.3110006928603647,2367.5671780491457,1365.3394148780444,1804.496473083,0,0,82090505,224191831,0.0001581193262997739,2367.5671780491457,0.0
47,random-90-20.00-0,DIDP-ADD,0,2262.166390017151,0.002100879,0.5151880392000462,1492.993827493172,728.6095555404952,1804.703935694,0,0,63196575,205352747,0.00033628488968700116,1492.993827493172,0.0
46,random-90-16.64-0,DIDP-ADD,0,2092.2810472339975,0.001649541,0.28341947818178226,1630.2394367569734,837.0921482223657,1804.816494213,0,0,66595439,205718060,0.0006223424565053589,1630.2394367569734,0.0
45,random-50-7.00-0,DIDP-ADD,0,1536.532307071167,0.00508241,0.0989161373292432,1398.225264764504,1294.5475815843085,1837.754315099,0,0,115720296,257728332,3.2246961690988477e-06,1398.225264764504,0.0
44,random-40-12.00-0,DIDP-ADD,0,1046.9457214343147,0.000545082,0.26036971117297647,830.6655675341194,630.0449946675558,1827.855077106,0,0,86548114,242555881,0.00029390060528624673,830.6655675341194,0.0
43,random-50-12.00-0,DIDP-ADD,0,1348.0087507104681,0.001207214,0.40997793395447496,956.0495368390583,682.2253519758453,1823.8747034,0,0,90971571,244671160,0.000763596896717033,956.0495368390583,0.0
42,random-40-9.60-0,DIDP-ADD,0,1254.0299130025874,0.000512017,0.3632406564906003,919.8888743758898,732.7200153372781,1824.095928781,0,0,97394786,253468620,3.18783033641679e-06,919.8888743758898,0.0
41,random-60-9.00-0,DIDP-ADD,0,1734.579525296416,0.002934291,0.21328600871348372,1429.654271819791,1160.035645193415,1822.221805343,0,0,101682124,252154025,0.0015141806225472145,1429.654271819791,0.0
40,random-10-2.50-0,DIDP-ADD,0,0,0,0,0,0,0.000207417,0,0,34,36,-1,,
39,random-10-1.30-0,DIDP-ADD,0,0,0,0,0,0,0.00011294,0,0,8,9,-1,,
38,random-10-0.00-0,DIDP-ADD,0,0,0,0,0,0,6.7946e-05,0,0,1,1,-1,,
37,random-50-9.60-0,DIDP-ADD,0,1379.6647707523155,0.002211729,0.26196516094848327,1093.2669248296602,855.1305646405574,1818.914457279,0,0,96888580,239759392,1.1550758094176844e-06,1093.2669248296602,0.0
36,random-70-16.00-0,DIDP-ADD,0,1603.1239402876804,0.001062942,0.2362918629666976,1296.7196406524147,699.9601705730763,1811.992907148,0,0,74110774,222761344,0.0025267133741191613,1296.7196406524147,0.0
35,random-90-9.64-0,DIDP-ADD,0,2940.7478381114083,0.004391244,0.25744198221177417,2338.674769661172,1616.160144987674,1811.057553683,0,0,85588477,225254085,0.00031768232260058254,2338.674769661172,0.0
34,random-200-8.00-0,DIDP-ADD,0,0,0,0,0,0,0.019100332,0,0,553,623,-1,,
33,random-60-14.00-0,DIDP-ADD,0,1511.9104855923904,0.001547233,0.3847156788179107,1091.8562624228116,673.9869788457115,1810.94718749,0,0,80840699,235576163,2.519145888805906e-05,1091.8562624228116,0.0
32,random-150-6.00-0,DIDP-ADD,0,0,0,0,0,0,0.004867388,0,0,204,242,-1,,
31,random-80-10.00-0,DIDP-ADD,0,2578.1251259977103,0.002104662,0.40340456258855767,1837.0505517257254,1213.0048000202123,1810.333561554,0,0,87132537,229402042,0.0004496668200558432,1837.0505517257254,0.0
118,random-200-47.12-0,DIDP-DEL,0,0,0,0,0,748.8139503623582,1800.888266165,0,0,21778037,100076734,-1,,
119,random-200-60.00-0,DIDP-DEL,0,0,0,0,0,748.7817883313875,1800.815885153,0,0,21173867,100578416,-1,,
