,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1055,random-70-13.12-0,CP-ADD,70,0,0,0,0,36.0,1800.0,0,0,76597,162321,-1
1056,random-200-60.00-0,CP-ADD,200,0,0,0,0,1.0,1800.06,0,0,1517,47385,-1
1057,random-100-19.68-0,CP-ADD,100,0,0,0,0,10.0,1800.0,0,0,17345,47578,-1
1058,random-150-60.00-0,CP-ADD,150,2295.0,68.34,0.5595030764798761,1681.0,32.0,1800.06,0,0,262522,576835,0.3268990286628605
1059,random-150-32.80-0,CP-ADD,150,0,0,0,0,2.0,1800.02,0,0,5655,36093,-1
1060,random-200-20.96-0,CP-ADD,200,0,0,0,0,56.0,1800.05,0,0,697,38196,-1
1061,random-150-6.00-0,CP-ADD,150,0,0,0,0,438.0,1800.0,0,0,1627,8293,-1
1062,random-100-15.00-0,CP-ADD,100,0,0,0,0,72.0,1800.0,0,0,21725,54233,-1
1063,random-150-46.40-0,CP-ADD,150,7590.0,55.96,3.671654507053093,2187.0,46.0,1800.02,0,0,255151,574250,1.051544424802174
1064,random-200-8.00-0,CP-ADD,200,0,0,0,0,448.0,1800.01,0,0,424,13575,-1
1065,random-100-10.68-0,CP-ADD,100,0,0,0,0,188.0,1800.01,0,0,14782,37388,-1
1066,random-150-19.68-0,CP-ADD,150,0,0,0,0,41.0,1800.02,0,0,1934,25449,-1
1067,random-200-47.12-0,CP-ADD,200,0,0,0,0,1.0,1800.04,0,0,1612,45586,-1
1068,random-100-24.00-0,CP-ADD,100,0,0,0,0,3.0,1800.02,0,0,15947,44798,-1
1069,random-200-32.00-0,CP-ADD,200,0,0,0,0,10.0,1800.04,0,0,1241,42864,-1
1070,random-20-5.00-0,CP-DEL,20,900.0,0.96,0.40186915887850466,642.0,642.0,45.09,0,0,281659,439612,0.0006252163378331603
1071,random-10-5.00-0,CP-DEL,10,365.0,0.02,0.0,365.0,365.0,1.17,0,0,23709,20889,0.0
1072,random-40-2.00-0,CP-DEL,40,0,0,0,0,0,0,0,0,0,0,-1
1073,random-30-7.60-0,CP-DEL,30,1256.0,2.53,0.6177265506267583,847.0,326.0,1800.04,0,0,3014735,5330130,0.09231896304520164
1074,random-20-10.00-0,CP-DEL,20,816.0,0.04,0.863013698630137,438.0,438.0,458.09,0,0,2061316,3437828,0.0014051116184677827
1075,random-30-2.60-0,CP-DEL,30,0,0,0,0,0.0,0.08,0,0,1,0,-1
1076,random-20-0.00-0,CP-DEL,20,0,0,0,0,0,0,0,0,0,0,-1
1077,random-20-7.60-0,CP-DEL,20,1004.0,0.06,0.8801498127340824,534.0,534.0,246.44,0,0,1145374,1927601,0.003059758635039534
1078,random-40-7.00-0,CP-DEL,40,1927.0,1.03,0.5417168166358568,1343.0,439.0,1800.13,0,0,2021900,3191305,0.09265289751014001
1079,random-30-0.00-0,CP-DEL,30,0,0,0,0,0,0,0,0,0,0,-1
1080,random-20-2.60-0,CP-DEL,20,0,0,0,0,172.0,7.67,0,0,15082,30142,-1
1081,random-40-4.60-0,CP-DEL,40,0,0,0,0,2602.0,142.72,0,0,78131,122213,-1
1082,random-30-10.00-0,CP-DEL,30,1470.0,0.17,1.2379532553578603,675.0,302.0,1800.01,0,0,3014803,5372580,0.03243127920364231
1083,random-30-5.00-0,CP-DEL,30,1528.0,0.63,0.2214228617106315,1251.0,1251.0,235.32,0,0,618551,919504,0.0009313438138378187
1084,random-60-14.00-0,CP-DEL,60,2623.0,32.85,1.3651251440505727,1227.0,90.0,1800.01,0,0,919550,1899745,0.14352260833730945
1085,random-50-12.00-0,CP-DEL,50,1410.0,1.13,0.48464587628191236,1140.0,341.0,1800.2,0,0,1124550,1749997,0.2134374537738776
1086,random-50-2.00-0,CP-DEL,50,0,0,0,0,0.0,0.57,0,0,1,0,-1
1087,random-60-4.00-0,CP-DEL,60,0,0,0,0,302.0,1800.0,0,0,73804,147580,-1
1088,random-70-7.12-0,CP-DEL,70,0,0,0,0,222.0,1800.0,0,0,11217,23192,-1
1089,random-50-4.60-0,CP-DEL,50,0,0,0,0,236.0,1065.86,0,0,376543,753165,-1
1090,random-70-4.00-0,CP-DEL,70,0,0,0,0,362.0,1146.55,0,0,106771,213518,-1
1091,random-60-9.00-0,CP-DEL,60,2915.0,16.55,1.0218201344238864,1666.0,196.0,1800.01,0,0,756416,1553605,0.23387945114676148
1092,random-40-9.60-0,CP-DEL,40,1271.0,19.96,0.38168863153424476,994.0,352.0,1800.05,0,0,2097376,3979298,0.08678367459263367
1093,random-50-9.60-0,CP-DEL,50,1476.0,15.47,0.3550370473489756,1175.0,342.0,1800.13,0,0,1247795,2063377,0.09811489300828484
1094,random-60-11.60-0,CP-DEL,60,2736.0,123.59,1.2727808877622266,1357.0,105.0,1800.01,0,0,795278,1636335,0.24699649706368626
1095,random-40-12.00-0,CP-DEL,40,1881.0,0.38,1.2366230677764567,841.0,345.0,1800.12,0,0,2262323,3971723,0.023127196459241637
1096,random-50-7.00-0,CP-DEL,50,1597.0,8.49,0.1461624837240063,1479.0,395.0,1800.09,0,0,1254311,1748281,0.06394741863001525
1097,random-60-6.60-0,CP-DEL,60,0,0,0,0,238.0,1800.0,0,0,132569,265480,-1
1098,random-100-6.00-0,CP-DEL,100,0,0,0,0,367.0,1800.0,0,0,29240,58562,-1
1099,random-80-7.12-0,CP-DEL,80,0,0,0,0,197.0,1800.0,0,0,9423,19475,-1
1100,random-90-20.00-0,CP-DEL,90,4769.0,246.99,2.213742661577376,1653.0,83.0,1800.01,0,0,446919,941007,0.5896985893175146
1101,random-80-4.00-0,CP-DEL,80,0,0,0,0,329.0,1800.0,0,0,172959,345945,-1
1102,random-70-10.00-0,CP-DEL,70,2645.0,400.09,0.5249081914909631,1910.0,210.0,1800.01,0,0,401951,828300,0.21205947784551465
1103,random-80-10.00-0,CP-DEL,80,3681.0,135.71,0.9977157130247806,2078.0,202.0,1800.01,0,0,179478,370637,0.3812461905536516
1104,random-90-16.64-0,CP-DEL,90,4869.0,1695.38,1.935365981463359,4239.0,5.0,1800.0,0,0,16896,42241,1.9133229209267077
1105,random-90-6.00-0,CP-DEL,90,0,0,0,0,343.0,1800.0,0,0,95270,190668,-1
1106,random-70-16.00-0,CP-DEL,70,3819.0,5.63,1.8889065848678868,1382.0,113.0,1800.01,0,0,614162,1265240,0.14230691411339655
1107,random-90-13.00-0,CP-DEL,90,4429.0,42.06,1.3175635992940757,2226.0,173.0,1800.01,0,0,356125,728912,0.25924798981070574
1108,random-80-13.12-0,CP-DEL,80,2237.0,168.0,0.4387143001795614,1797.0,155.0,1800.01,0,0,865949,1777571,0.22180048922413662
1109,random-90-9.64-0,CP-DEL,90,0,0,0,0,181.0,1800.0,0,0,12213,25898,-1
1110,random-80-16.00-0,CP-DEL,80,3568.0,3.63,1.5864403648054,1605.0,99.0,1800.01,0,0,480900,1007409,0.2594329888621982
1111,random-70-13.12-0,CP-DEL,70,3853.0,522.88,1.699706170148424,1656.0,138.0,1800.01,0,0,192156,401773,1.1409431953788736
1112,random-200-60.00-0,CP-DEL,200,0,0,0,0,1.0,1800.09,0,0,1450,46227,-1
1113,random-100-19.68-0,CP-DEL,100,0,0,0,0,10.0,1800.01,0,0,11650,33664,-1
1114,random-150-60.00-0,CP-DEL,150,7515.0,544.58,4.106608113179202,1591.0,32.0,1800.03,0,0,60779,157723,1.399262737752318
1115,random-150-32.80-0,CP-DEL,150,7822.0,451.6,3.192019773438497,2317.0,61.0,1800.02,0,0,331059,689323,1.0240976894507328
1116,random-200-20.96-0,CP-DEL,200,0,0,0,0,56.0,1800.07,0,0,746,26227,-1
1117,random-150-6.00-0,CP-DEL,150,0,0,0,0,438.0,1800.0,0,0,18301,36640,-1
1118,random-100-15.00-0,CP-DEL,100,2748.0,848.19,0.40988456307847376,2386.0,163.0,1800.0,0,0,113845,239190,0.3187919539516741
1119,random-150-46.40-0,CP-DEL,150,7692.0,270.21,3.734435634815862,2022.0,46.0,1800.0,0,0,24234,78211,2.6722712167075744
1120,random-200-8.00-0,CP-DEL,200,0,0,0,0,448.0,1800.03,0,0,8369,16948,-1
1121,random-100-10.68-0,CP-DEL,100,3200.0,82.28,0.35250487726997287,3190.0,278.0,1800.05,0,0,975743,1954277,0.34847150109326425
1122,random-150-19.68-0,CP-DEL,150,0,0,0,0,41.0,1800.05,0,0,7017,31593,-1
1123,random-200-47.12-0,CP-DEL,200,2826.0,1263.69,0.2533463661210018,2826.0,1.0,1800.02,0,0,2424,47027,0.2533463661210018
1124,random-100-24.00-0,CP-DEL,100,2215.0,91.84,0.4496151824797232,1811.0,72.0,1800.01,0,0,213565,458338,0.21492663658207592
1125,random-200-32.00-0,CP-DEL,200,0,0,0,0,10.0,1800.04,0,0,3244,45313,-1
1126,random-10-0.00-0,CP-DEL,10,0,0,0,0,0,0,0,0,0,0,-1
1127,random-10-1.30-0,CP-DEL,10,0,0,0,0,0.0,0.13,0,0,1,0,-1
1128,burma14-3.1,CP-DEL,14,46.0,0.21,0.12195121951219512,41.0,41.0,0.39,0,0,936,1870,1.4227642276422764e-05
1129,random-10-2.50-0,CP-DEL,10,0,0,0,0,124.0,0.5,0,0,3041,6075,-1
1130,random-10-3.80-0,CP-DEL,10,495.0,0.24,0.04430379746835443,495.0,495.0,1.84,0,0,29339,28612,0.04430379746835443
1131,ulysses22-5.5,CP-DEL,22,127.0,0.42,0.15454545454545454,110.0,110.0,6.59,0,0,42203,52237,3.6060606060606056e-05
1132,berlin52-13.2,CP-DEL,52,20270.0,2.36,0.3279124773653121,16668.0,2291.0,1800.0,0,0,2281023,4615198,0.1652209545525069
1133,eil101-27.5,CP-DEL,101,3496.0,168.48,1.9158860765379266,1372.0,90.0,1800.02,0,0,219353,463975,0.33277217834232803
1134,gr202-67.3,CP-DEL,202,873.0,31.95,0.11939672546514613,848.0,84.0,1800.14,0,0,154171,353755,0.0879096855571238
1135,lin318-99.3,CP-DEL,318,0,0,0,0,31.0,1800.18,0,0,577,105700,-1
1136,fl417-160.6,CP-DEL,417,0,0,0,0,8.0,1800.21,0,0,107,189060,-1
1137,d657-322.7,CP-DEL,657,0,0,0,0,17.0,1801.3,0,0,29,513569,-1
1138,rat783-481.4,CP-DEL,783,0,0,0,0,1.0,1800.71,0,0,7,609909,-1
1139,vm1084-848.9,CP-DEL,1084,0,0,0,0,27.0,1802.03,0,0,1,3,-1
1140,random-20-5.00-0,CP-DEL,20,900.0,0.96,0.40186915887850466,642.0,642.0,45.09,0,0,281659,439612,0.0006252163378331603
1141,random-10-5.00-0,CP-DEL,10,365.0,0.02,0.0,365.0,365.0,1.17,0,0,23709,20889,0.0
1142,random-40-2.00-0,CP-DEL,40,0,0,0,0,0,0,0,0,0,0,-1
1143,random-30-7.60-0,CP-DEL,30,1256.0,2.53,0.6177265506267583,847.0,326.0,1800.04,0,0,3014735,5330130,0.09231896304520164
1144,random-20-10.00-0,CP-DEL,20,816.0,0.04,0.863013698630137,438.0,438.0,458.09,0,0,2061316,3437828,0.0014051116184677827
1145,random-30-2.60-0,CP-DEL,30,0,0,0,0,0.0,0.08,0,0,1,0,-1
1146,random-20-0.00-0,CP-DEL,20,0,0,0,0,0,0,0,0,0,0,-1
1147,random-20-7.60-0,CP-DEL,20,1004.0,0.06,0.8801498127340824,534.0,534.0,246.44,0,0,1145374,1927601,0.003059758635039534
1148,random-40-7.00-0,CP-DEL,40,1927.0,1.03,0.5417168166358568,1343.0,439.0,1800.13,0,0,2021900,3191305,0.09265289751014001
1149,random-30-0.00-0,CP-DEL,30,0,0,0,0,0,0,0,0,0,0,-1
1150,random-20-2.60-0,CP-DEL,20,0,0,0,0,172.0,7.67,0,0,15082,30142,-1
1151,random-40-4.60-0,CP-DEL,40,0,0,0,0,2602.0,142.72,0,0,78131,122213,-1
1152,random-30-10.00-0,CP-DEL,30,1470.0,0.17,1.2379532553578603,675.0,302.0,1800.01,0,0,3014803,5372580,0.03243127920364231
1153,random-30-5.00-0,CP-DEL,30,1528.0,0.63,0.2214228617106315,1251.0,1251.0,235.32,0,0,618551,919504,0.0009313438138378187
1154,random-60-14.00-0,CP-DEL,60,2623.0,32.85,1.3651251440505727,1227.0,90.0,1800.01,0,0,919550,1899745,0.14352260833730945
1155,random-50-12.00-0,CP-DEL,50,1410.0,1.13,0.48464587628191236,1140.0,341.0,1800.2,0,0,1124550,1749997,0.2134374537738776
1156,random-50-2.00-0,CP-DEL,50,0,0,0,0,0.0,0.57,0,0,1,0,-1
1157,random-60-4.00-0,CP-DEL,60,0,0,0,0,302.0,1800.0,0,0,73804,147580,-1
1158,random-70-7.12-0,CP-DEL,70,0,0,0,0,222.0,1800.0,0,0,11217,23192,-1
1159,random-50-4.60-0,CP-DEL,50,0,0,0,0,236.0,1065.86,0,0,376543,753165,-1
1160,random-70-4.00-0,CP-DEL,70,0,0,0,0,362.0,1146.55,0,0,106771,213518,-1
1161,random-60-9.00-0,CP-DEL,60,2915.0,16.55,1.0218201344238864,1666.0,196.0,1800.01,0,0,756416,1553605,0.23387945114676148
1162,random-40-9.60-0,CP-DEL,40,1271.0,19.96,0.38168863153424476,994.0,352.0,1800.05,0,0,2097376,3979298,0.08678367459263367
1163,random-50-9.60-0,CP-DEL,50,1476.0,15.47,0.3550370473489756,1175.0,342.0,1800.13,0,0,1247795,2063377,0.09811489300828484
1164,random-60-11.60-0,CP-DEL,60,2736.0,123.59,1.2727808877622266,1357.0,105.0,1800.01,0,0,795278,1636335,0.24699649706368626
1165,random-40-12.00-0,CP-DEL,40,1881.0,0.38,1.2366230677764567,841.0,345.0,1800.12,0,0,2262323,3971723,0.023127196459241637
1166,random-50-7.00-0,CP-DEL,50,1597.0,8.49,0.1461624837240063,1479.0,395.0,1800.09,0,0,1254311,1748281,0.06394741863001525
1167,random-60-6.60-0,CP-DEL,60,0,0,0,0,238.0,1800.0,0,0,132569,265480,-1
1168,random-100-6.00-0,CP-DEL,100,0,0,0,0,367.0,1800.0,0,0,29240,58562,-1
1169,random-80-7.12-0,CP-DEL,80,0,0,0,0,197.0,1800.0,0,0,9423,19475,-1
1170,random-90-20.00-0,CP-DEL,90,4769.0,246.99,2.213742661577376,1653.0,83.0,1800.01,0,0,446919,941007,0.5896985893175146
1171,random-80-4.00-0,CP-DEL,80,0,0,0,0,329.0,1800.0,0,0,172959,345945,-1
1172,random-70-10.00-0,CP-DEL,70,2645.0,400.09,0.5249081914909631,1910.0,210.0,1800.01,0,0,401951,828300,0.21205947784551465
1173,random-80-10.00-0,CP-DEL,80,3681.0,135.71,0.9977157130247806,2078.0,202.0,1800.01,0,0,179478,370637,0.3812461905536516
1174,random-90-16.64-0,CP-DEL,90,4869.0,1695.38,1.935365981463359,4239.0,5.0,1800.0,0,0,16896,42241,1.9133229209267077
1175,random-90-6.00-0,CP-DEL,90,0,0,0,0,343.0,1800.0,0,0,95270,190668,-1
