,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
2098,random-100-10.68-0.json,MIP-DEL,0,0,0,0,0,0,3.96647,0,0,0,0,-1,,
2037,random-60-9.00-0.json,MIP-ADD,0,0,0,0,0,545.351378502,1800.01,0,0,137459,3,-1,,
2035,random-80-7.12-0.json,MIP-ADD,0,0,0,0,0,0,21.983,0,0,0,0,-1,,
2034,random-80-10.00-0.json,MIP-ADD,0,0,0,0,0,0,18.6456,0,0,0,0,-1,,
2033,random-80-13.12-0.json,MIP-ADD,0,0,0,0,0,0,16.5159,0,0,0,0,-1,,
2032,random-80-16.00-0.json,MIP-ADD,0,0,0,0,0,0,14.9547,0,0,0,0,-1,,
2031,random-70-16.00-0.json,MIP-ADD,0,0,0,0,3922.75,0.0,198.025,0,0,0,1,-1,3922.75,0.0
2030,random-70-4.00-0.json,MIP-ADD,0,0,0,0,0,0,16.8714,0,0,0,0,-1,,
2029,random-70-13.12-0.json,MIP-ADD,0,0,0,0,0,0,146.335,0,0,0,0,-1,,
2028,random-70-7.12-0.json,MIP-ADD,0,0,0,0,0,0,13.2142,0,0,0,0,-1,,
2027,random-70-10.00-0.json,MIP-ADD,0,0,0,0,0,0,49.2483,0,0,0,0,-1,,
2026,random-50-2.00-0.json,MIP-ADD,0,0,0,0,0,501.3789605823,1800.0,0,0,317629,12,-1,,
2036,random-80-4.00-0.json,MIP-ADD,0,0,0,0,0,0,28.5704,0,0,0,0,-1,,
2099,random-100-6.00-0.json,MIP-DEL,0,0,0,0,0,0,4.96049,0,0,0,0,-1,,
