,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
2006,berlin52-13.2,MIP-ADD-nofirst,52,0,0,0,0,0,0,0,0,0,0,-1
2007,berlin52-13.2,MIP-DEL-nofirst,52,0,0,0,0,0,0,0,0,0,0,-1
2008,gr202-67.3,MIP-ADD-nofirst,202,0,0,0,0,0,0,0,0,0,0,-1
2009,lin318-99.3,MIP-ADD-nofirst,318,0,0,0,0,0,0,0,0,0,0,-1
2010,fl417-160.6,MIP-ADD-nofirst,417,0,0,0,0,0,0,0,0,0,0,-1
2011,fl417-160.6,MIP-DEL-nofirst,417,0,0,0,0,0,0,0,0,0,0,-1
2012,eil101-27.5,MIP-DEL-nofirst,101,0,0,0,0,0,0,0,0,0,0,-1
2013,eil101-27.5,MIP-ADD-nofirst,101,0,0,0,0,0,0,0,0,0,0,-1
2014,lin318-99.3,MIP-DEL-nofirst,318,0,0,0,0,0,0,0,0,0,0,-1
2015,rat783-481.4,MIP-DEL-nofirst,783,0,0,0,0,0,0,0,0,0,0,-1
2016,vm1084-848.9,MIP-DEL-nofirst,1084,0,0,0,0,0,0,0,0,0,0,-1
2017,vm1084-848.9,MIP-ADD-nofirst,1084,0,0,0,0,0,0,0,0,0,0,-1
