,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
2003,random-20-2.60-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,21006,1,-1,,
2002,random-20-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2001,random-10-5.00-0.json,MIP-ADD,0,476.5107151,0.0,0.2914164476412193,368.983,368.9834937416,0.800633,0,0,3781,80,1.3279744595643273e-06,368.983,0.0
2013,random-20-5.00-0.json,MIP-ADD,0,688.1490154,155.0,0.06021750613190701,649.064,649.0491654859,670.162,0,0,1944550,16356,0.008921207967336245,649.064,0.0
2028,random-150-6.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2029,random-150-19.68-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2030,random-40-12.00-0.json,MIP-ADD,0,0,0,0,0,462.8126248937,1800.83,0,0,1567887,2552,-1,,
2057,random-100-15.00-0.json,MIP-ADD,0,0,0,0,0,0,3.35887,0,0,0,0,-1,,
2056,random-100-19.68-0.json,MIP-ADD,0,0,0,0,0,0,2.771,0,0,0,0,-1,,
2055,random-100-24.00-0.json,MIP-ADD,0,0,0,0,0,0,2.48949,0,0,0,0,-1,,
2054,random-90-6.00-0.json,MIP-ADD,0,0,0,0,0,0,2.92695,0,0,0,0,-1,,
2053,random-90-9.64-0.json,MIP-ADD,0,0,0,0,0,0,33.6611,0,0,0,0,-1,,
2052,random-90-13.00-0.json,MIP-ADD,0,0,0,0,0,0,27.1322,0,0,0,0,-1,,
2051,random-90-16.64-0.json,MIP-ADD,0,0,0,0,0,0,28.25,0,0,0,0,-1,,
2050,random-60-14.00-0.json,MIP-ADD,0,0,0,0,0,473.0249567362,1800.11,0,0,154739,1,-1,,
2049,random-60-11.60-0.json,MIP-ADD,0,0,0,0,0,476.9613901518,1800.07,0,0,142271,1,-1,,
2048,random-60-9.00-0.json,MIP-ADD,0,0,0,0,0,486.1533302503,1800.02,0,0,146021,1,-1,,
2047,random-90-20.00-0.json,MIP-ADD,0,0,0,0,0,0,19.6086,0,0,0,0,-1,,
2046,random-50-4.60-0.json,MIP-ADD,0,0,0,0,0,529.9493396957,1800.1,0,0,265785,1,-1,,
2045,random-50-9.60-0.json,MIP-ADD,0,0,0,0,0,491.4446122159,1811.24,0,0,323044,1,-1,,
2044,random-50-7.00-0.json,MIP-ADD,0,0,0,0,0,496.0632569674,1800.03,0,0,300648,1,-1,,
2043,random-200-60.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2042,random-200-47.12-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2041,random-10-2.50-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2040,random-10-1.30-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2039,random-200-32.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2038,random-10-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2037,random-200-20.96-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2036,random-200-8.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2035,random-40-7.00-0.json,MIP-ADD,0,0,0,0,0,519.7352405376,1800.03,0,0,1344662,898,-1,,
2034,random-150-60.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2033,random-150-46.40-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2032,random-40-9.60-0.json,MIP-ADD,0,0,0,0,0,485.7614535737,1800.0,0,0,1356002,1041,-1,,
2031,random-150-32.80-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2118,random-100-10.68-0.json,MIP-DEL,0,0,0,0,0,0,3.97238,0,0,0,0,-1,,
2119,random-100-6.00-0.json,MIP-DEL,0,0,0,0,0,0,4.97594,0,0,0,0,-1,,
